	nn	opentime	price	volume	numtrade	minper	maxper	RSI	MA2_1_perc	MA2_2_perc	MA1d30_perc	Lev24hMAX_perc	Lev24hMIN_perc	Lev7dMAX_perc	Lev7dMIN_perc
0	0.0	0.0	0.00046026	27254.0	35.0	-0.6	2.33				23.4302	4.2215	-5.486	19.4781	-5.486
1	1.0	0.0104	0.0004601	18497.0	57.0	-0.0	2.37				23.6568	4.2578	-5.4532	19.5197	-5.4532
2	2.0	0.0208	0.00046737	43300.0	130.0	-0.47	0.78				21.7333	2.636	-6.9239	17.6605	-6.9239
3	3.0	0.0312	0.00046705	36565.0	46.0	-0.34	1.52				21.8167	2.7063	-6.8601	17.7411	-6.8601
4	4.0	0.0417	0.00046655	26880.0	73.0	-0.23	3.38				21.9473	2.8164	-6.7603	17.8673	-6.7603
5	5.0	0.0521	0.00046797	42261.0	48.0	-0.53	4.02				21.5772	1.5877	-7.0432	17.5097	-7.0432
6	6.0	0.0625	0.00046991	48164.0	47.0	-0.94	4.23				21.0753	1.1683	-7.427	17.0245	-7.427
7	7.0	0.0729	0.00046892	51479.0	34.0	-0.74	4.45	0.8437	-0.6192		21.3309	1.3819	-7.2315	17.2716	-7.2315
8	8.0	0.0833	0.0004682	15083.0	32.0	-0.58	4.61	0.7909	-0.2544		21.5175	1.5378	-7.0889	17.4519	-7.0889
9	9.0	0.0938	0.000466	15708.0	31.0	-0.11	5.11	0.6468	0.3747		22.0912	5.1052	-6.6502	18.0064	-6.6502
10	10.0	0.1042	0.00046571	29967.0	44.0	-0.05	5.17	0.6292	0.3927		22.1672	5.1706	-6.5921	18.0799	-6.5921
11	11.0	0.1146	0.00046681	21125.0	41.0	-0.22	4.92	0.6691	0.1497		21.8794	4.9228	-6.8122	17.8017	-6.8122
12	12.0	0.125	0.00046702	78343.0	137.0	-0.0	4.88	0.6768	0.1172		21.8245	4.8756	-6.8541	17.7487	-6.8541
13	13.0	0.1354	0.00047135	94110.0	311.0	-0.29	3.91	0.7933	-0.7128		20.7054	3.9122	-7.7098	16.667	-7.7098
14	14.0	0.1458	0.00048207	67140.0	196.0	-2.85	1.6	0.8987	-2.6054	-2.9838	18.0212	1.6014	-9.7621	14.0726	-9.7621
15	15.0	0.1562	0.00048642	82428.0	241.0	-4.3	0.69	0.9184	-3.0267	-3.4929	16.9658	0.6928	-10.5691	13.0525	-10.5691
16	16.0	0.1667	0.0004821	16620.0	66.0	-3.44	1.53	0.7495	-1.7973	-2.3239	18.0139	1.5951	-9.7677	14.0655	-9.7677
17	17.0	0.1771	0.00048271	34639.0	69.0	-3.57	1.41	0.7569	-1.4887	-2.2354	17.8648	1.4667	-9.8817	13.9214	-9.8817
18	18.0	0.1875	0.00048078	12032.0	39.0	-3.18	1.81	0.6828	-0.7015	-1.6526	18.3379	1.874	-9.5199	14.3787	-9.5199
19	19.0	0.1979	0.0004815	60667.0	76.0	-3.32	1.66	0.6957	-0.4686	-1.5927	18.161	1.7217	-9.6552	14.2077	-9.6552
20	20.0	0.2083	0.00048081	93082.0	102.0	-3.18	5.83	0.6653	0.0328	-1.2734	18.3305	1.8677	-9.5256	14.3716	-9.5256
21	21.0	0.2188	0.00048396	127959.0	202.0	-3.81	5.14	0.7285	-0.2926	-1.7225	17.5603	1.2046	-10.1145	13.6272	-10.1145
22	22.0	0.2292	0.00048499	120288.0	233.0	-4.02	5.98	0.7468	-0.4291	-1.7103	17.3107	0.9897	-10.3054	13.3858	-10.3054
23	23.0	0.2396	0.00047492	60588.0	107.0	-1.98	9.47	0.4228	1.3794	0.4681	19.7981	3.1311	-8.4035	15.79	-8.4035
24	24.0	0.25	0.00047191	242062.0	167.0	-1.36	10.31	0.3672	1.7562	1.1925	20.5622	3.7889	-7.8193	16.5286	-7.8193
25	25.0	0.2604	0.0004677	160392.0	141.0	-0.47	11.31	0.3024	2.271	2.1317	21.6474	9.9016	-6.2904	17.5775	-6.9895
26	26.0	0.2708	0.00046582	199503.0	307.0	-0.07	11.76	0.2769	2.2823	2.5297	22.1384	10.3452	-5.9122	18.052	-6.6141
27	27.0	0.2812	0.00047837	57116.0	124.0	-0.1	8.82	0.5634	-0.4829	-0.002	18.9341	7.4503	-8.3805	14.955	-9.0641
28	28.0	0.2917	0.00048137	122681.0	138.0	-0.73	8.15	0.6068	-1.0886	-0.4864	18.1929	6.7806	-8.9515	14.2385	-9.6308
29	29.0	0.3021	0.00048041	581937.0	505.0	-0.53	8.36	0.5851	-0.9833	-0.3106	18.4291	8.3616	-8.7696	14.4668	-9.4503
30	30.0	0.3125	0.00050018	114282.0	276.0	-0.26	4.08	0.777	-4.5174	-4.0675	13.7481	4.0785	-12.3755	9.9424	-13.0293
31	31.0	0.3229	0.00050656	142845.0	255.0	-0.65	2.77	0.8101	-4.9392	-4.9538	12.3154	2.7677	-13.4792	8.5577	-14.1247
32	32.0	0.3333	0.00051218	319669.0	503.0	-1.74	1.64	0.8352	-4.9995	-5.6131	11.083	1.64	-14.4285	7.3666	-15.067
33	33.0	0.3438	0.0005164	161927.0	240.0	-2.54	0.81	0.8523	-4.597	-5.9246	10.1753	0.8095	-15.1278	6.4892	-15.761
34	34.0	0.3542	0.000515	111671.0	249.0	-2.28	0.46	0.8194	-3.1439	-5.2352	10.4748	1.0835	-14.8971	6.7786	-15.532
35	35.0	0.3646	0.00050876	99334.0	165.0	-1.08	1.52	0.6823	-1.2093	-3.7067	11.8297	2.3233	-13.8533	8.0883	-14.496
36	36.0	0.375	0.00050752	54617.0	120.0	-0.84	1.77	0.6568	-0.3239	-3.1619	12.103	2.5733	-13.6428	8.3524	-14.2871
37	37.0	0.3854	0.00051	67623.0	129.0	-1.32	1.27	0.6843	-0.0833	-3.3059	11.5578	2.0745	-14.0627	7.8255	-14.7039
38	38.0	0.3958	0.00050706	87381.0	139.0	-0.75	1.86	0.616	0.6656	-2.3227	12.2047	2.6664	-13.5645	8.4507	-14.2094
39	39.0	0.4062	0.00050759	78883.0	152.0	-0.74	1.75	0.6239	0.5859	-1.956	12.0875	2.5592	-13.6547	8.3374	-14.2989
40	40.0	0.4167	0.0005105	130474.0	168.0	-1.31	1.17	0.6677	-0.0286	-1.956	11.4486	1.9745	-14.1469	7.7199	-14.7875
41	41.0	0.4271	0.00051123	224537.0	159.0	-1.45	1.03	0.6786	-0.2978	-1.5038	11.2894	1.8289	-14.2695	7.5661	-14.9091
42	42.0	0.4375	0.00050878	84529.0	186.0	-1.46	1.52	0.6011	0.0295	-0.6311	11.8253	2.3193	-13.8567	8.084	-14.4994
43	43.0	0.4479	0.00051117	46747.0	142.0	-2.42	1.04	0.647	-0.3793	-0.707	11.3025	1.8409	-14.2594	7.5787	-14.8992
44	44.0	0.4583	0.00051349	110729.0	201.0	-2.86	0.51	0.6877	-0.684	-0.7261	10.7996	1.3807	-14.6468	7.0926	-15.2836
45	45.0	0.4688	0.00051289	114751.0	223.0	-2.75	0.41	0.6646	-0.4974	-0.4448	10.9292	1.4993	-12.6421	7.2179	-15.1845
46	46.0	0.4792	0.00051047	64031.0	264.0	-2.28	0.35	0.5738	0.0578	0.0782	11.4551	1.9805	-12.2279	7.7262	-14.7825
47	47.0	0.4896	0.00050683	29103.0	173.0	-1.58	0.45	0.4629	0.7577	0.7266	12.2556	2.7129	-11.5976	8.4999	-14.1704
48	48.0	0.5	0.0005052	53557.0	120.0	-1.32	0.78	0.4205	0.9516	0.9038	12.6178	3.0443	-11.3124	8.85	-13.8935
49	49.0	0.5104	0.0005051	55362.0	103.0	-1.94	0.6	0.4177	0.8199	0.7931	12.6401	3.0647	-10.295	8.8715	-13.8765
50	50.0	0.5208	0.00050474	51291.0	104.0	-2.14	0.67	0.4066	0.7917	0.8119	12.7204	3.1382	-10.231	8.9492	-13.815
51	51.0	0.5312	0.00050433	85788.0	309.0	-2.06	0.75	0.3927	0.7042	0.8517	12.812	3.2221	-10.158	9.0377	-13.745
52	52.0	0.5417	0.00050168	83101.0	242.0	-1.54	1.29	0.3121	0.9418	1.2739	13.4079	3.7673	-9.6835	9.6137	-13.2893
53	53.0	0.5521	0.00050191	43248.0	127.0	-1.59	0.42	0.3261	0.6221	1.159	13.356	3.7198	-9.7249	9.5635	-13.3291
54	54.0	0.5625	0.00050038	37243.0	88.0	-1.29	0.72	0.2817	0.6777	1.3723	13.7026	4.0369	-9.4488	9.8985	-13.0641
55	55.0	0.5729	0.00050097	41014.0	71.0	-1.77	0.6	0.3232	0.4129	1.1261	13.5687	3.9144	-9.5555	9.769	-13.1665
56	56.0	0.5833	0.00050332	40402.0	83.0	-2.23	0.14	0.4665	-0.1026	0.5492	13.0384	3.4292	-9.9777	9.2565	-13.5719
57	57.0	0.5938	0.00050181	114963.0	195.0	-1.93	0.23	0.4026	0.1161	0.7591	13.3786	3.7405	-9.7069	9.5853	-13.3118
58	58.0	0.6042	0.00049856	37129.0	218.0	-1.72	0.32	0.2996	0.6138	1.2473	14.1177	4.4167	-9.1183	10.2997	-12.7467
59	59.0	0.6146	0.0004967	93735.0	106.0	-1.97	0.69	0.2558	0.7985	1.4011	14.545	4.8077	-8.7779	10.7127	-12.42
60	60.0	0.625	0.00049782	28678.0	72.0	-2.47	0.47	0.325	0.4748	0.9712	14.2873	4.5719	-8.9832	10.4636	-12.617
61	61.0	0.6354	0.00049873	57355.0	87.0	-2.65	0.28	0.3797	0.2118	0.63	14.0788	4.3811	-9.1492	10.2621	-12.7765
62	62.0	0.6458	0.00049646	21467.0	116.0	-2.21	0.29	0.3073	0.5713	0.9509	14.6004	4.8584	-8.7338	10.7662	-12.3776
63	63.0	0.6562	0.000495	33442.0	139.0	-1.92	0.35	0.2688	0.7172	1.1112	14.9384	5.1677	-8.4646	11.0929	-12.1192
64	64.0	0.6667	0.00049396	39582.0	113.0	-1.71	1.14	0.2435	0.6924	1.1738	15.1804	5.3891	-8.2719	11.3268	-11.9342
65	65.0	0.6771	0.00049455	13310.0	60.0	-1.83	1.02	0.2879	0.3887	0.9157	15.043	5.2634	-8.3814	11.194	-12.0392
66	66.0	0.6875	0.00049295	33164.0	132.0	-1.51	1.35	0.2428	0.5723	1.0894	15.4164	5.605	-8.084	11.5549	-11.7537
67	67.0	0.6979	0.0004928	60313.0	188.0	-1.48	1.38	0.2387	0.504	1.0	15.4515	5.6372	-8.056	11.5889	-11.7269
68	68.0	0.7083	0.00049019	112215.0	254.0	-0.96	1.92	0.1779	0.8446	1.3784	16.0662	6.1996	-7.5665	12.183	-11.2569
69	69.0	0.7188	0.00048901	71020.0	235.0	-0.72	2.17	0.1568	0.8395	1.468	16.3463	6.4559	-7.3434	12.4537	-11.0427
70	70.0	0.7292	0.00048716	40495.0	83.0	-0.16	2.56	0.1289	0.9838	1.6643	16.7881	6.8602	-6.9915	12.8808	-10.7049
71	71.0	0.7396	0.00049047	13408.0	41.0	-0.0	2.06	0.365	0.1868	0.8036	16.0	6.139	-7.6192	12.119	-11.3075
72	72.0	0.75	0.00049241	26895.0	84.0	-0.36	1.77	0.4643	-0.2473	0.2792	15.5429	5.7208	-7.9832	11.6773	-11.657
73	73.0	0.7604	0.00049164	161315.0	174.0	-0.13	2.29	0.4329	-0.165	0.3424	15.7239	5.8864	-7.8391	11.8522	-11.5186
74	74.0	0.7708	0.00049358	39779.0	63.0	-0.52	1.9	0.5268	-0.5415	-0.0941	15.2691	5.4702	-8.2013	11.4125	-11.8664
75	75.0	0.7812	0.00049478	45987.0	75.0	-0.68	1.73	0.5773	-0.7326	-0.3774	14.9895	5.2144	-8.4239	11.1423	-12.0801
76	76.0	0.0	0.00049535	19808.0	85.0	-0.79	1.61	0.6009	-0.7167	-0.5375	14.8572	5.0934	-8.5293	11.0144	-12.1813
77	77.0	0.0104	0.00049657	119069.0	133.0	-1.04	1.36	0.6498	-0.7703	-0.7804	14.575	4.8352	-8.7541	10.7417	-12.397
78	78.0	0.0208	0.0004918	52803.0	113.0	-0.08	2.34	0.417	0.3101	0.1385	15.6863	5.852	-7.8691	11.8158	-11.5474
79	79.0	0.0312	0.00049558	41411.0	87.0	-0.32	1.56	0.562	-0.3261	-0.6035	14.8039	5.0446	-8.5718	10.9629	-12.222
80	80.0	0.0417	0.00049796	54095.0	137.0	-1.6	1.08	0.6297	-0.6632	-1.0329	14.2552	4.5425	-9.0088	10.4326	-12.6416
81	81.0	0.0521	0.00050024	11398.0	66.0	-2.05	0.62	0.6843	-0.9011	-1.3868	13.7344	4.066	-9.2755	9.9292	-13.0397
82	82.0	0.0625	0.00050114	46531.0	98.0	-2.22	2.23	0.7043	-0.8905	-1.453	13.5302	3.8792	-9.4385	9.7318	-13.1959
83	83.0	0.0729	0.00050065	139016.0	107.0	-2.13	2.78	0.677	-0.6469	-1.2172	13.6413	3.9808	-9.3498	9.8392	-13.111
84	84.0	0.0833	0.00050083	192908.0	231.0	-2.16	4.0	0.6823	-0.5458	-1.0954	13.6004	3.9435	-9.3824	9.7997	-13.1422
85	85.0	0.0938	0.00049613	57307.0	103.0	-1.24	6.46	0.4555	0.3852	-0.0379	14.6766	4.9281	-8.5179	10.8399	-12.3194
86	86.0	0.1042	0.000497	15968.0	74.0	-1.41	6.28	0.4919	0.3403	-0.1253	14.4759	4.7445	-8.6781	10.6459	-12.4728
87	87.0	0.1146	0.00049982	28417.0	70.0	-1.96	7.35	0.5946	-0.1198	-0.5899	13.83	4.1535	-9.1933	10.0216	-12.9667
88	88.0	0.125	0.00049628	43481.0	122.0	-1.27	10.02	0.4588	0.5503	0.1815	14.6419	4.8964	-8.5456	10.8064	-12.3459
89	89.0	0.1354	0.00049466	49584.0	144.0	-0.94	10.38	0.4089	0.7386	0.5241	15.0174	6.7784	-7.5122	11.1693	-12.0588
90	90.0	0.1458	0.00049282	16637.0	56.0	-0.2	10.79	0.3575	0.9037	0.8729	15.4468	7.1771	-7.1669	11.5844	-11.7304
91	91.0	0.1562	0.00049647	208133.0	455.0	-0.32	9.98	0.5024	0.0566	0.1464	14.5981	6.3891	-7.8494	10.764	-12.3794
92	92.0	0.1667	0.0005111	139119.0	285.0	-0.62	6.83	0.7579	-2.5563	-2.5308	11.3177	3.3438	-10.4872	7.5934	-14.8875
93	93.0	0.1771	0.00051214	181154.0	296.0	-0.35	6.61	0.7678	-2.3634	-2.4639	11.0917	6.6115	-9.1127	7.3749	-15.0603
94	94.0	0.1875	0.000521	253061.0	635.0	-1.26	4.8	0.8348	-3.4479	-3.7973	9.2025	4.7985	-10.6583	5.5489	-16.5048
95	95.0	0.1979	0.00052209	42578.0	119.0	-1.35	4.58	0.8414	-3.1163	-3.69	8.9745	4.5797	-10.8449	5.3286	-16.6791
96	96.0	0.2083	0.00052139	279830.0	506.0	-1.22	4.72	0.817	-2.3843	-3.2903	9.1208	4.7201	-10.7252	5.47	-16.5673
97	97.0	0.2188	0.0005351	346209.0	621.0	-3.75	2.04	0.8899	-3.9406	-5.345	6.3873	2.037	-13.0125	2.037	-18.7049
98	98.0	0.2292	0.0005342	151385.0	299.0	-3.59	1.76	0.8635	-2.8105	-4.7669	6.5666	2.2089	-12.866	2.2089	-18.568
99	99.0	0.2396	0.0005264	240478.0	399.0	-2.16	3.27	0.6647	-0.6597	-3.0319	8.1456	3.7234	-11.5748	3.7234	-17.3613
100	100.0	0.25	0.00052444	118586.0	266.0	-0.0	3.66	0.6227	0.0296	-2.3096	8.5498	4.1111	-11.2444	4.1111	-17.0525
101	101.0	0.2604	0.0005321	423306.0	446.0	-1.4	2.16	0.7071	-0.9416	-3.2762	6.9872	2.6123	-12.5164	2.6123	-18.2466
102	102.0	0.2708	0.00054262	130764.0	175.0	-3.31	0.18	0.7844	-2.364	-4.6256	4.913	0.6229	-14.2125	0.6229	-19.8316
103	103.0	0.2812	0.0005369	107875.0	169.0	-2.28	0.43	0.6719	-0.979	-3.1051	6.0307	1.6949	-13.2986	1.6949	-18.9775
104	104.0	0.2917	0.00053377	132708.0	171.0	-1.75	1.02	0.6156	-0.1084	-2.0484	6.6524	2.2912	-12.7902	2.2912	-18.5024
105	105.0	0.3021	0.00053023	34502.0	97.0	-1.1	1.7	0.5542	0.4437	-0.9241	7.3645	2.9742	-12.2079	2.9742	-17.9582
106	106.0	0.3125	0.00052867	86462.0	166.0	-1.22	2.0	0.5272	0.6093	-0.2257	7.6813	3.278	-11.9489	3.278	-17.7162
107	107.0	0.3229	0.00052731	132994.0	160.0	-0.97	2.26	0.5023	0.8904	0.2365	7.959	3.5444	-11.7218	3.5444	-17.5039
108	108.0	0.3333	0.0005326	50018.0	125.0	-2.55	1.24	0.5901	0.0798	-0.5029	6.8867	2.516	-12.5986	2.516	-18.3233
109	109.0	0.3438	0.00052894	195076.0	274.0	-1.88	1.95	0.5166	0.6976	0.2856	7.6263	3.2253	-11.9938	3.2253	-17.7582
110	110.0	0.3542	0.00053002	53569.0	95.0	-2.08	0.73	0.5365	0.1953	0.181	7.407	3.015	-12.1731	3.015	-17.9257
111	111.0	0.3646	0.0005299	18078.0	80.0	-2.05	0.38	0.5336	0.0528	0.3108	7.4313	3.0383	-12.1532	3.0383	-17.9072
112	112.0	0.375	0.00052854	34940.0	74.0	-1.8	0.66	0.4986	0.1866	0.4861	7.7078	3.3034	-11.9272	3.3034	-17.6959
113	113.0	0.3854	0.00052655	23919.0	53.0	-1.43	1.04	0.4484	0.4779	0.769	8.1148	3.6939	-11.5943	3.6939	-17.3849
114	114.0	0.3958	0.000525	27190.0	72.0	-1.14	1.34	0.4108	0.6871	1.0488	8.434	4.0	-11.3333	4.0	-17.141
115	115.0	0.4062	0.00052643	57777.0	106.0	-1.41	1.06	0.4596	0.3927	0.7995	8.1395	3.7175	-11.5742	3.7175	-17.366
116	116.0	0.4167	0.00052293	9076.0	45.0	-0.75	1.74	0.3717	0.8335	1.3572	8.8633	4.4117	-10.9823	4.4117	-16.813
117	117.0	0.4271	0.00052457	119138.0	104.0	-1.06	1.42	0.4312	0.4141	0.8109	8.5229	4.0853	-8.9006	4.0853	-17.073
118	118.0	0.4375	0.00052397	71539.0	156.0	-0.47	1.54	0.4144	0.3848	0.7619	8.6472	4.2044	-8.7963	4.2044	-16.9781
119	119.0	0.4479	0.0005279	22982.0	79.0	-1.43	0.78	0.5484	-0.4099	-0.0624	7.8384	3.4287	-9.4753	3.4287	-17.5961
120	120.0	0.4583	0.00052999	30203.0	57.0	-1.85	0.38	0.6045	-0.7684	-0.4595	7.4131	3.0208	-9.8323	3.0208	-17.9211
121	121.0	0.4688	0.00052973	13948.0	73.0	-1.9	0.43	0.5938	-0.6447	-0.3973	7.4658	3.0714	-8.3495	3.0714	-17.8808
122	122.0	0.4792	0.0005305	42972.0	124.0	-2.24	0.0	0.6172	-0.6593	-0.5018	7.3098	2.9218	-8.4826	2.9218	-18.0
123	123.0	0.4896	0.00052411	64166.0	117.0	-1.1	0.62	0.396	0.4966	0.6033	8.6182	4.1766	-7.3668	4.1766	-17.0002
124	124.0	0.5	0.00052171	69833.0	119.0	-0.65	1.08	0.3423	0.9296	0.9737	9.1178	4.6558	-6.9406	4.6558	-16.6184
125	125.0	0.5104	0.0005268	17748.0	52.0	-1.61	0.1	0.5076	0.0074	-0.0426	8.0635	3.6446	-7.8398	3.6446	-17.4241
126	126.0	0.5208	0.00052291	57332.0	60.0	-1.15	0.56	0.4147	0.726	0.6118	8.8674	4.4157	-7.1542	4.4157	-16.8098
127	127.0	0.5312	0.000525	46153.0	84.0	-1.54	0.11	0.4749	0.256	0.1663	8.434	4.0	-7.5238	4.0	-17.141
128	128.0	0.5417	0.00052423	90629.0	140.0	-1.4	0.0	0.4548	0.2659	0.284	8.5933	4.1528	-7.388	4.1528	-17.0192
129	129.0	0.5521	0.00052297	34344.0	60.0	-1.16	0.06	0.4208	0.3459	0.4997	8.8549	4.4037	-7.1648	4.4037	-16.8193
130	130.0	0.5625	0.00052233	33257.0	107.0	-1.04	0.18	0.4029	0.2733	0.5705	8.9883	4.5316	-7.0511	4.5316	-16.7174
131	131.0	0.5729	0.0005209	29174.0	99.0	-0.77	0.31	0.3627	0.4715	0.8206	9.2875	4.8186	-6.7959	4.8186	-16.4888
132	132.0	0.5833	0.00052085	9742.0	34.0	-0.76	0.32	0.3613	0.4605	0.7827	9.298	4.8286	-6.787	4.8286	-16.4808
133	133.0	0.5938	0.00051833	13457.0	68.0	-0.28	0.8	0.2918	0.7447	1.2001	9.8294	5.3383	-6.3338	5.3383	-16.0747
134	134.0	0.6042	0.00052004	120760.0	143.0	-0.6	0.47	0.3854	0.3444	0.7666	9.4682	4.9919	-6.6418	4.9919	-16.3507
135	135.0	0.6146	0.000519	37776.0	131.0	-0.4	0.67	0.3523	0.401	0.8274	9.6876	5.2023	-6.4547	5.2023	-16.183
136	136.0	0.625	0.00051793	51222.0	67.0	-0.26	0.88	0.3195	0.4564	0.8838	9.9142	5.4197	-6.2615	5.4197	-16.0099
137	137.0	0.6354	0.00052044	13571.0	40.0	-0.74	0.39	0.4579	-0.0889	0.2684	9.3841	4.9112	-6.7136	4.9112	-16.415
138	138.0	0.6458	0.00051901	42699.0	65.0	-1.29	0.67	0.4034	0.1065	0.4791	9.6855	5.2003	-6.4565	5.2003	-16.1847
139	139.0	0.6562	0.0005218	53124.0	52.0	-1.81	0.13	0.5306	-0.4072	-0.057	9.099	4.6378	-6.9567	4.6378	-16.6328
140	140.0	0.6667	0.0005197	35827.0	58.0	-1.42	0.53	0.4469	-0.0325	0.2558	9.5399	5.0606	-6.5807	5.0606	-16.2959
141	141.0	0.6771	0.00051935	33736.0	73.0	-2.48	0.6	0.4336	0.0594	0.2777	9.6137	5.1314	-6.5178	5.1314	-16.2395
142	142.0	0.6875	0.00052093	14879.0	29.0	-2.78	0.15	0.5103	-0.2227	-0.0786	9.2812	4.8125	-6.8013	4.8125	-16.4936
143	143.0	0.6979	0.0005212	30269.0	53.0	-3.33	0.0	0.5232	-0.2216	-0.1691	9.2246	4.7583	-6.8496	4.7583	-16.5368
144	144.0	0.7083	0.00052049	42126.0	58.0	-3.29	0.13	0.4842	-0.024	-0.0647	9.3736	4.9012	-6.7225	4.9012	-16.423
145	145.0	0.7188	0.00051934	64309.0	120.0	-3.37	0.35	0.4243	0.1709	0.1182	9.6158	5.1334	-6.516	5.1334	-16.2379
146	146.0	0.7292	0.00051767	21605.0	45.0	-3.11	0.2	0.3508	0.4617	0.3996	9.9694	5.4726	-6.2144	5.4726	-15.9677
147	147.0	0.7396	0.00051767	76952.0	232.0	-3.11	0.2	0.3508	0.362	0.3587	9.9694	5.4726	-6.2144	5.4726	-15.9677
148	148.0	0.75	0.00051397	46611.0	96.0	-2.41	0.23	0.2304	0.9451	1.0246	10.7611	6.2319	-5.5392	6.2319	-15.3628
149	149.0	0.7604	0.00051496	27906.0	89.0	-2.6	0.03	0.3049	0.6445	0.7646	10.5481	6.0277	-5.7208	6.0277	-15.5255
150	150.0	0.7708	0.0005137	194224.0	357.0	-2.67	0.2	0.2666	0.7154	0.943	10.8193	6.2877	-5.4896	6.2877	-15.3183
151	151.0	0.7812	0.00050935	46929.0	113.0	-1.84	0.38	0.177	1.2847	1.6927	11.7657	7.1954	-4.6824	7.1954	-14.5951
152	152.0	0.7917	0.00050856	75805.0	300.0	-2.08	0.18	0.1653	1.1488	1.695	11.9393	7.362	-4.5344	7.362	-14.4624
153	153.0	0.8021	0.00050648	79120.0	126.0	-1.68	0.52	0.1373	1.2468	1.9477	12.399	7.8029	-4.1423	7.8029	-14.1111
154	154.0	0.8125	0.00050648	144570.0	246.0	-1.68	0.52	0.1373	0.9707	1.746	12.399	7.8029	-4.1423	7.8029	-14.1111
155	155.0	0.8229	0.000503	95418.0	120.0	-1.0	1.19	0.099	1.3047	2.2286	13.1767	8.5487	-3.4791	8.5487	-13.5169
156	156.0	0.8333	0.00050363	106469.0	134.0	-1.13	1.25	0.1491	0.9213	1.8927	13.0351	8.4129	-3.5999	8.4129	-13.6251
157	157.0	0.8438	0.00050545	67625.0	90.0	-1.48	0.89	0.2833	0.3227	1.3216	12.6281	8.0226	-3.947	8.0226	-13.9361
158	158.0	0.8542	0.00050634	75407.0	82.0	-1.66	0.71	0.3424	-0.0353	0.9478	12.4301	7.8327	-4.1158	7.8327	-14.0874
159	159.0	0.8646	0.000504	71043.0	135.0	-1.2	1.18	0.2733	0.2961	1.1984	12.9521	8.3333	-3.6706	8.3333	-13.6885
160	160.0	0.875	0.00050026	62696.0	95.0	-0.46	1.93	0.1985	0.8386	1.7007	13.7966	9.1432	-2.9505	9.1432	-13.0432
161	161.0	0.8854	0.0005006	105545.0	175.0	-0.53	1.87	0.2211	0.6233	1.4043	13.7193	9.0691	-2.1175	9.0691	-13.1023
162	162.0	0.8958	0.00050428	86177.0	196.0	-0.44	1.12	0.4256	-0.1656	0.4873	12.8894	8.2732	-2.8318	8.2732	-13.7364
163	163.0	0.9062	0.00050665	54930.0	117.0	-0.91	0.92	0.5203	-0.5425	-0.0791	12.3613	7.7667	-3.2863	7.7667	-14.1399
164	164.0	0.9167	0.00050875	51861.0	92.0	-1.32	0.91	0.5901	-0.8273	-0.5729	11.8975	7.3219	-3.6855	7.3219	-14.4943
165	165.0	0.9271	0.00050842	160698.0	206.0	-1.25	1.1	0.5748	-0.6899	-0.5776	11.9702	7.3915	-3.623	7.3915	-14.4388
166	166.0	0.9375	0.00050434	52911.0	102.0	-0.45	1.92	0.418	0.0639	0.1605	12.876	8.2603	-2.8433	8.2603	-13.7467
167	167.0	0.9479	0.00050513	51143.0	81.0	-0.61	1.76	0.4518	-0.0646	-0.0414	12.6994	8.091	-2.9953	8.091	-13.8816
168	168.0	0.9583	0.00050606	34295.0	73.0	-0.64	1.57	0.4923	-0.105	-0.2307	12.4923	7.8923	-3.1735	7.8923	-14.0398
169	169.0	0.9688	0.00050557	16508.0	33.0	-0.58	1.67	0.4709	0.1147	-0.146	12.6014	7.9969	-3.0797	7.9969	-13.9565
170	170.0	0.9792	0.0005055	36433.0	92.0	-0.57	1.68	0.4675	0.1588	-0.0992	12.6169	8.0119	-3.0663	8.0119	-13.9446
171	171.0	0.9896	0.00050612	46839.0	92.0	-0.69	1.56	0.5043	0.023	-0.1888	12.479	7.8796	-3.185	7.8796	-14.05
172	172.0	0.0	0.00050815	55067.0	134.0	-1.08	1.15	0.6078	-0.3914	-0.5521	12.0297	7.4486	-3.5718	7.4486	-14.3934
173	173.0	0.0104	0.0005104	52194.0	131.0	-1.52	0.71	0.6912	-0.782	-0.9374	11.5358	6.9749	-3.9969	6.9749	-14.7708
174	174.0	0.0208	0.00051299	104404.0	269.0	-2.02	0.2	0.7598	-1.0721	-1.3208	10.9727	6.4348	-4.4816	6.4348	-15.2011
175	175.0	0.0312	0.00051019	18377.0	66.0	-1.48	0.65	0.5935	-0.4052	-0.6494	11.5817	7.019	-3.9573	7.019	-14.7357
176	176.0	0.0417	0.00051131	61455.0	86.0	-1.7	0.43	0.6312	-0.4951	-0.7274	11.3373	6.7845	-4.1677	6.7845	-14.9225
177	177.0	0.0521	0.00050999	44395.0	105.0	-1.44	0.69	0.5599	-0.1292	-0.3958	11.6255	7.0609	-3.9197	7.0609	-14.7022
178	178.0	0.0625	0.00050664	64257.0	119.0	-0.79	1.35	0.4195	0.5593	0.2626	12.3635	7.7688	-3.2844	7.7688	-14.1382
179	179.0	0.0729	0.00050491	35415.0	81.0	-0.4	1.7	0.3644	0.8739	0.5555	12.7485	8.1381	-2.953	8.1381	-13.8441
180	180.0	0.0833	0.00050649	120025.0	171.0	-0.71	1.38	0.4424	0.5183	0.2164	12.3968	7.8007	-3.2557	7.8007	-14.1128
181	181.0	0.0938	0.00050961	49352.0	70.0	-1.32	0.17	0.5653	-0.1165	-0.3282	11.7087	7.1408	-2.2861	7.1408	-14.6386
