	nn	opentime	price	volume	numtrade	minper	maxper	RSI	MA2_1_perc	MA2_2_perc	MA1d30_perc	Lev24hMAX_perc	Lev24hMIN_perc	Lev7dMAX_perc	Lev7dMIN_perc
2878	2878.0	0.1875	0.00046493	18409.0	96.0	-1.04	1.42	0.4259	0.8472	0.7491	3.6763	2.381	-2.5445	7.4549	-2.951
2879	2879.0	0.1979	0.00046857	33086.0	57.0	-1.81	0.63	0.5174	0.0152	-0.0225	2.8709	1.5857	-3.3015	6.6201	-3.7049
2880	2880.0	0.2083	0.00046648	61708.0	186.0	-1.37	1.08	0.4675	0.3191	0.3864	3.3318	2.0408	-2.8683	7.0978	-3.2735
2881	2881.0	0.2188	0.00046193	21112.0	81.0	-0.31	2.08	0.3755	1.1736	1.3002	4.0209	3.0459	-1.9115	8.1528	-2.3207
2882	2882.0	0.2292	0.00046448	30092.0	78.0	-0.28	1.52	0.4467	0.3803	0.6984	3.4498	2.4802	-2.4501	7.559	-2.857
2883	2883.0	0.2396	0.00046654	66475.0	77.0	-0.5	1.07	0.5004	-0.1562	0.2378	2.993	2.0277	-2.8808	7.0841	-3.2859
2884	2884.0	0.25	0.00046804	41139.0	70.0	-0.81	0.75	0.5384	-0.5568	-0.0741	2.6629	1.7007	-3.192	6.7409	-3.5958
2885	2885.0	0.2604	0.00046945	16954.0	74.0	-1.11	0.45	0.574	-0.6705	-0.3594	2.3546	1.3952	-3.4828	6.4203	-3.8854
2886	2886.0	0.2708	0.00046853	69474.0	68.0	-0.92	0.22	0.5422	-0.3794	-0.1902	2.5556	1.5943	-3.2933	6.6292	-3.6967
2887	2887.0	0.2812	0.00046793	11628.0	49.0	-1.15	0.16	0.5202	-0.2687	-0.1183	2.6871	1.7246	-3.1693	6.766	-3.5732
2888	2888.0	0.2917	0.00046573	41808.0	117.0	-0.69	0.63	0.4435	0.1822	0.3372	3.1722	2.2051	-2.7119	7.2703	-3.1177
2889	2889.0	0.3021	0.00046656	41757.0	72.0	-0.86	0.38	0.4774	0.1281	0.0622	2.9886	2.0233	-2.8849	7.0795	-3.29
2890	2890.0	0.3125	0.00046605	5789.0	31.0	-0.76	0.43	0.4574	0.2797	0.1149	3.1013	2.135	-2.7787	7.1967	-3.1842
2891	2891.0	0.3229	0.00046727	22150.0	28.0	-1.01	0.03	0.5142	0.0375	-0.2006	2.8321	1.8683	-3.0325	6.9168	-3.437
2892	2892.0	0.3333	0.00046626	7586.0	23.0	-0.8	0.41	0.467	0.2064	0.0693	3.0549	2.089	-2.8225	7.1484	-3.2278
2893	2893.0	0.3438	0.00046565	6091.0	24.0	-0.67	0.54	0.4386	0.2357	0.2107	3.1899	2.2227	-2.6952	7.2887	-3.101
2894	2894.0	0.3542	0.0004661	28660.0	35.0	-0.77	0.44	0.4665	0.0738	0.0787	3.0903	2.124	-2.7891	7.1852	-3.1946
2895	2895.0	0.3646	0.00046491	4792.0	24.0	-0.51	0.7	0.4045	0.2487	0.3123	3.3541	2.3854	-2.5403	7.4595	-2.9468
